date,campaign,channel,spend,impressions,clicks,conversions,revenue
2025-10-10,Content Sprint,Google Ads,4107.0,112525,4543,336,20217.64
2025-10-14,Lookalike Scale,Display,156.41,36387,143,2,306.68
2025-06-11,Display Remarketing,YouTube,1016.1,60673,927,14,2837.74
2025-05-10,Summer Sale Blitz,Email,10516.2,242821,13539,967,69965.86
2025-02-26,Holiday Flash Promo,YouTube,2507.83,172346,3704,66,8168.67
2025-03-11,Display Remarketing,Display,126.28,36830,145,1,224.0
2025-10-31,Display Remarketing,Display,618.28,202167,1040,16,1123.57
2025-01-03,Holiday Flash Promo,Display,886.27,197796,1145,10,1236.84
2025-02-21,Brand Awareness Push,Google Ads,716.08,33059,880,65,3549.07
2025-07-22,Summer Sale Blitz,YouTube,1314.84,142005,2382,43,3667.15
2025-11-08,Summer Sale Blitz,SEO,2000.43,62315,1967,154,9879.26
2025-10-14,Loyalty Win-back,YouTube,820.26,167756,2166,48,2197.14
2025-09-21,Content Sprint,Display,573.48,118159,521,7,1039.68
2025-05-20,Brand Awareness Push,Meta Ads,643.24,78870,1623,37,1596.33
2025-11-28,Display Remarketing,LinkedIn,1421.69,176428,1437,57,2774.94
2025-04-10,Summer Sale Blitz,Display,65.05,28615,130,2,109.03
2025-03-06,Display Remarketing,YouTube,3056.62,214870,3062,53,11703.9
2025-08-26,Content Sprint,Google Ads,765.12,25688,912,57,3934.7
2025-02-07,Retarget Cart Abandon,Email,4866.78,148972,7258,446,34007.05
2025-01-09,Retarget Cart Abandon,LinkedIn,1518.78,239847,1610,52,5769.32
2025-12-09,Retarget Cart Abandon,YouTube,723.03,145073,948,20,1840.1
2025-01-08,LinkedIn ABM Campaign,Meta Ads,1903.14,207441,4527,173,5325.92
2025-04-13,Brand Awareness Push,Google Ads,11471.03,166558,8165,505,42012.12
2025-01-14,Retarget Cart Abandon,Meta Ads,3498.59,140938,4534,144,12866.33
2025-04-17,Content Sprint,Email,3538.73,131188,7531,503,16562.14
2025-12-29,Retarget Cart Abandon,SEO,10881.03,223460,12778,930,74105.06
2025-10-09,LinkedIn ABM Campaign,Google Ads,5677.47,167107,7253,481,20578.05
2025-03-29,Summer Sale Blitz,SEO,1821.36,35075,2057,137,7657.71
2025-04-24,Loyalty Win-back,Meta Ads,1488.58,195464,3699,147,5913.59
2025-02-18,Summer Sale Blitz,Meta Ads,1410.95,171026,1750,69,3605.75
2025-10-21,Summer Sale Blitz,SEO,3073.34,180274,4940,348,19924.4
2025-08-30,LinkedIn ABM Campaign,YouTube,2797.95,239127,3218,53,8400.6
2025-02-08,Holiday Flash Promo,Display,330.46,39383,208,5,498.35
2025-06-20,Content Sprint,YouTube,2963.99,197267,2979,77,4904.14
2025-07-13,Holiday Flash Promo,LinkedIn,1394.53,153473,1198,28,2364.87
2025-04-01,Brand Awareness Push,YouTube,421.94,62982,639,18,1133.51
2025-02-23,Retarget Cart Abandon,LinkedIn,860.02,207042,1403,39,1908.77
2025-02-26,Display Remarketing,Email,841.98,33295,1816,135,5712.59
2025-09-06,New Customer Acquisition,YouTube,1801.52,101439,1545,31,5555.11
2025-03-08,New Customer Acquisition,YouTube,631.27,63002,1343,37,1423.39
2025-11-01,Retarget Cart Abandon,Google Ads,932.21,17730,675,22,3480.86
2025-10-20,Lookalike Scale,LinkedIn,1551.61,195971,1786,49,3837.49
2025-11-10,New Customer Acquisition,SEO,2507.36,118385,4566,333,8782.63
